,Billing Date,Litres,CRP,val,Area_Akdeniz Bölgesi,Area_Doğu Anadolu Bölgesi,Area_Ege Bölgesi,Area_Güneydoğu Anadolu Bölgesi,Area_Karadeniz Bölgesi,Area_Marmara Bölgesi,Area_İç Anadolu Bölgesi,Product_Motorin
0,2014-01-01,0.0,4.983188405797102,0,1,0,0,0,0,0,0,0
1,2014-01-01,0.0,4.57463768115942,0,1,0,0,0,0,0,0,1
2,2014-01-01,0.0,4.983188405797102,0,0,1,0,0,0,0,0,0
3,2014-01-01,0.0,4.57463768115942,0,0,1,0,0,0,0,0,1
4,2014-01-01,0.0,4.983188405797102,0,0,0,1,0,0,0,0,0
5,2014-01-01,0.0,4.57463768115942,0,0,0,1,0,0,0,0,1
6,2014-01-01,0.0,4.983188405797102,0,0,0,0,1,0,0,0,0
7,2014-01-01,0.0,4.57463768115942,0,0,0,0,1,0,0,0,1
8,2014-01-01,0.0,4.983188405797102,0,0,0,0,0,1,0,0,0
9,2014-01-01,0.0,4.57463768115942,0,0,0,0,0,1,0,0,1
10,2014-01-01,0.0,4.983188405797102,0,0,0,0,0,0,1,0,0
11,2014-01-01,0.0,4.57463768115942,0,0,0,0,0,0,1,0,1
12,2014-01-01,0.0,4.983188405797102,0,0,0,0,0,0,0,1,0
13,2014-01-01,0.0,4.57463768115942,0,0,0,0,0,0,0,1,1
14,2014-01-02,6122.714285714285,5.106478873239436,0,1,0,0,0,0,0,0,0
15,2014-01-02,13309.529411764706,4.650845070422535,0,1,0,0,0,0,0,0,1
16,2014-01-02,3104.5,5.106478873239436,0,0,1,0,0,0,0,0,0
17,2014-01-02,23955.5,4.650845070422535,0,0,1,0,0,0,0,0,1
18,2014-01-02,8279.70588235294,5.106478873239436,0,0,0,1,0,0,0,0,0
19,2014-01-02,14934.72,4.650845070422535,0,0,0,1,0,0,0,0,1
20,2014-01-02,10048.4,5.106478873239436,0,0,0,0,1,0,0,0,0
21,2014-01-02,16934.85714285714,4.650845070422535,0,0,0,0,1,0,0,0,1
22,2014-01-02,8109.2,5.106478873239436,0,0,0,0,0,1,0,0,0
23,2014-01-02,18661.727272727272,4.650845070422535,0,0,0,0,0,1,0,0,1
24,2014-01-02,8989.315789473685,5.106478873239436,0,0,0,0,0,0,1,0,0
